EventID,SessionID,EventTypeID,EventTarget,StartDateTimeUTC,EndDateTimeUTC,EventDataBlob
759,8,1,,2016-03-18 18:05:33.3700000,2016-03-18 18:05:34.4560000,4E72444D6F4A6747675267546D6742674C705441466B6241484164696F674851796F5977373548716E6F7A70515472314543734E41624377334D34657A646D7852514D4C6B577730346F5952484C6A534C64744643343473556B7258705158474D5754496741
760,8,1,,2016-03-18 18:05:34.5230000,2016-03-18 18:05:35.3640000,4E7242734759425942704D6747613843363078566E4A41365371774163416E4E414B77627A616E34447338416A47615935614D736B41
764,8,1,,2016-03-18 18:05:36.2730000,2016-03-18 18:05:40.4560000,4E7244734159455942704C6732613443363078567041544670413641466C57414659424F55574C53415A6E784F4A4B3057774E3344336B61784B726568703473784C4B4269516F4D515452453177304D755147466B794941
766,8,1,,2016-03-18 18:05:51.7230000,2016-03-18 18:05:51.9570000,4E72424D48594559426F4534465A625141774631706E41466D7052795541365364595055615553554A5A513056564941
767,8,1,,2016-03-18 18:05:54.0990000,2016-03-18 18:05:54.2110000,4E72444D4459426F45594535757041444158525541
768,8,1,,2016-03-18 18:05:54.4570000,2016-03-18 18:05:54.5760000,4E72424D4259426F4559495A6B6742674C71574E52414F47454473534136615A5A4941
769,8,1,,2016-03-18 18:05:55.2810000,2016-03-18 18:05:55.3840000,4E724373425945344270514E67427A51417746315641
770,8,1,,2016-03-18 18:05:55.5350000,2016-03-18 18:05:55.6350000,4E72437345344359426F445A2B6742674C724B41
772,8,1,,2016-03-18 18:05:59.1810000,2016-03-18 18:05:59.2940000,4E72427341594134426F4559435943733972674C707141
774,8,1,,2016-03-18 18:11:23.4490000,2016-03-18 18:11:24.0310000,4E72444D41594134426F455A594577425A72674C725741646C6A4C5852554136574459414E6E484F6745356C694579615A596B4672776A516D6134324F69534D68446A6C6378414B786F305141
775,8,1,,2016-03-18 18:11:25.2020000,2016-03-18 18:11:25.6450000,4E72444D445A5147674A6742674F77455970774C7057444172485764645541364A444C41466758304C694E444F3350774135786A79303067
776,8,1,,2016-03-18 18:11:26.6730000,2016-03-18 18:11:26.8550000,4E72434D43594259427077674F6141474175744D424F6170376963674F6C42525341
777,8,1,,2016-03-18 18:11:26.8790000,2016-03-18 18:11:27.1070000,4E72434D48594270515A675467477951417746315641
779,8,1,,2016-03-18 18:11:38.7510000,2016-03-18 18:11:38.8640000,4E7243733447675269675741324341474175696F41
780,8,1,,2016-03-18 18:11:39.1390000,2016-03-18 18:11:39.6640000,4E724373445A514767546746674578514177463072414F774559444D564E3455413662645962624F665554665A5968637937544B572B3433636D41446D5859345363564B6941
792,8,1,,2016-03-18 22:39:55.5250000,2016-03-18 22:40:00.5550000,4E724363455A7747676467426D6E41756C59414F55426D4B34424D4257624F414F674259566741324F4F4B55537971452D437938664F6D554A346D43744F4230695959504E507A526F6334554E784B674A5579706C4935694C56476869726C71334D584156384D5557796E37634655714233687A7854466670517A555441597278564D53572B4B585548773474526E64484A4341
795,8,1,,2016-03-18 22:40:11.9330000,2016-03-18 22:40:16.1730000,4E72447341344659426F455A316A41444158576D4B30424D7049475A6F6B41366346464941
798,8,1,,2016-03-18 22:40:16.5330000,2016-03-18 22:40:21.5340000,4E72447341355147674A6C4257417A46414441585373416A43784D714A626741737141644668746976414777457A46626B7855377A5235506D4A736F436339505033376C696666696761527938507548674E616F6C4756727970654A4F56416147385A705577352B6E464D5870594B624C44436B784A2B4B36324F327057667353646C7745306B53386F4B3335355131426952526471634864515248425961324D55474B446C5A4267794B4B7773596D517341325A4D336C647753777449736E4653684E7938784C6C5336467959656B7A3156775167727A6179585578425A7159457A4E3842774E7969524A4478773247434A4F4277564A625252437971456E38386F544953706278757846334734486854627344316A724F3462766846646637626F666745367242455A71326F596B585157684F53543050355241483447426C55682D64526F4941
799,8,1,,2016-03-18 22:40:21.7800000,2016-03-18 22:40:24.3190000,4E72447344594359427049426A67466D6E4175744D566F45344163706F4247414F67465A314D5A64635A4A69426D43375175615241757856564941
765,8,2,,2016-03-18 18:05:35.9060000,2016-03-18 18:05:40.4560000,4E72434D426F4159463132416D41624A4B4136557467465A454759337959355A7137545241
793,8,2,,2016-03-18 22:39:55.9680000,2016-03-18 22:40:00.5580000,4E724373445A514767426758536D634157574136414841344E304534343467
796,8,2,,2016-03-18 22:40:11.1690000,2016-03-18 22:40:16.1740000,4E72434D426F4159463132416D414C504B413655746A494B787670674E6E67413430426D5441646B7354555532494D6A573077453551564A5544327932306C646F6C4C64696D546F6A4A6F3245736B334159346F4B6331446F4A3253477454356C324B597451563978584F76724C69314936326841
800,8,2,,2016-03-18 22:40:18.0220000,2016-03-18 22:40:21.5350000,4E72434D4134485A51476742674C6F7A41566B674A6E674F6C457370314D34743038424F554D37415A6E5054686E53334477505371624E636E47706C755152496B666A6C5A5141624B4947707149366C67417343424541
801,8,2,,2016-03-18 22:40:21.5650000,2016-03-18 22:40:24.3190000,4E72434D4759435A77476742674C6F7A4841724B2B4136555357674F7861533668796742734D6F6D347535416E41437857614F37694D41634C714A484C35584842623445434941
771,8,8,,2016-03-18 18:05:43.4580000,2016-03-18 18:05:51.7190000,
773,8,8,,2016-03-18 18:05:58.7250000,2016-03-18 18:05:59.1770000,
778,8,8,,2016-03-18 18:06:02.1850000,2016-03-18 18:11:23.4450000,
781,8,8,,2016-03-18 18:11:30.4550000,2016-03-18 18:11:38.7480000,
794,8,8,,2016-03-18 22:40:02.5280000,2016-03-18 22:40:11.1690000,
797,8,8,,2016-03-18 22:40:16.1770000,2016-03-18 22:40:16.5330000,
